fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
70,RF-3,66530,0.0,3.648848056793213,0.589362755682492,
71,RF-3,66530,0.0,3.6884021759033203,0.589362755682492,
72,RF-3,66530,0.0,3.8305304050445557,0.589362755682492,
73,RF-3,66530,0.0,3.725827932357788,0.589362755682492,
74,RF-3,66530,1408.0,3.99755597114563,0.589362755682492,0.47930442856566147
75,RF-3,67938,0.0,4.257014513015747,0.5872440128935157,
76,RF-3,67938,1778.0,4.057262659072876,0.5872440128935157,0.5348332219115919
77,RF-3,69716,1798.0,3.878039598464966,0.5888197001370078,0.5158636476119771
78,RF-3,71514,1341.0,4.016857862472534,0.5891975398363208,0.5040442419604563
79,RF-3,72855,1086.0,4.1026952266693115,0.5893698612850854,0.5270263837889296
80,RF-3,73941,2007.0,4.3881165981292725,0.5884266945540886,0.5220632779897549
81,RF-3,75948,1770.0,4.4131152629852295,0.5866199681559112,0.4694609494204848
82,RF-3,77718,1604.0,5.817939043045044,0.585707401433521,0.5004307529623985
83,RF-3,79322,1496.0,5.093883752822876,0.5836695082715732,0.43324520051556803
84,RF-3,80818,1819.0,4.946232080459595,0.5830086243469805,0.46241751809280546
85,RF-3,82637,1386.0,4.88762354850769,0.5828836351289477,0.4584881840471595
86,RF-3,84023,1008.0,4.9791953563690186,0.5818553271588087,0.5142970785354891
87,RF-3,85031,658.0,5.062965631484985,0.5822391402257772,0.5059591609945826
88,RF-3,85689,660.0,5.0117857456207275,0.5822533511071715,0.486285603350251
89,RF-3,86349,541.0,4.988495111465454,0.5805975313887964,0.4735388989120332
90,RF-3,86890,366.0,5.270596265792847,0.5811916259661654,0.5170816444701795
91,RF-3,87256,1332.0,5.259255647659302,0.5809599528119376,0.426411554040035
92,RF-3,88588,1836.0,5.367042779922485,0.5789691989428821,0.44754176758249387
93,RF-3,90424,1002.0,6.441322088241577,0.5776255344971348,0.5536994080947049
94,RF-3,91426,945.0,5.751744031906128,0.5781867766833064,0.4996590032125487
95,RF-3,92371,1950.0,5.71039080619812,0.5766139103311053,0.4740474928041206
96,RF-3,94321,2015.0,6.516488313674927,0.5751033143003361,0.525120634977301
97,RF-3,96336,970.0,6.08154559135437,0.5760645492557248,0.5567398065770607
98,RF-3,97306,557.0,6.32440972328186,0.5748194776067588,0.5424058793192367
99,RF-3,97863,1670.0,5.844053268432617,0.5746947913099821,0.488376062246764
100,RF-3,99533,629.0,8.598264455795288,0.5751610351921447,0.5647924734889191
0,RF-4,0,,,,
1,RF-4,4184,1768.0,0.6942715644836426,0.7269087336972169,0.5190541198096885
2,RF-4,5952,1228.0,0.9397499561309814,0.7218612410150398,0.5947168758716875
3,RF-4,7180,705.0,0.9338717460632324,0.7168059459939324,0.5273951637588001
4,RF-4,7885,827.0,1.0708491802215576,0.7162172254695572,0.5618515850144092
5,RF-4,8712,1557.0,1.1115796566009521,0.709532504365077,0.5442204922924252
6,RF-4,10269,510.0,0.8613944053649902,0.7059411762878077,0.5078040185801491
